大高雄羽球館大社館	高雄市大社區和平路一段85-1號
超速羽球館	高雄市大社區和平路一段312-1號
More複合式羽球場	高雄市仁武區高楠一街6之1號
WUMO羽球館	高雄市左營區左營大路918巷5號
松上羽球館	高雄市左營區文學路265號
康橋羽球會館	高雄市左營區文府路116巷18號
東尼羽球美術館店	高雄市三民區美都路
力羽美羽球會館	高雄市楠梓區旗楠路788號
戰將羽球	高雄市楠梓區援中路1020號
藏龍羽球楠橋館	高雄市橋頭區鹽南路31號
滾水羽球燕巢館	高雄市燕巢區滾水路100號
Yuni羽球埸	高雄市鼓山區龍水一街
大將羽球運動會館	高雄市前鎮區翠亨北路343號
亞柏會舘	高雄市小港區學府路113號
奧本羽球會館	高雄市鳳山區青年路二段197號之1
PF羽球概念館	高雄市大寮區光明路三段930-1號
凱富羽球館	高雄市大寮區中正路89-5號
新力羽球館	高雄市仁武區慈惠三街88號
大寮新力 桌、羽球館	高雄市大寮區興隆路552號
豐嶸神力羽球館	高雄市鳥松區美勝六街161號
翔豐羽球工坊	高雄市仁武區鳳仁路20-10號號區龍水一街
邁特羽球MattBadminton	高雄市鳥松區水管路2巷76-2號
建至羽球館	高雄市鳥松區學堂路2-5號A6
GC Sports 高雄羽球會館24H	高雄市鳥松區美山路21號C1
S KLUB運動俱樂部	高雄市鼓山區青海路209號2F
加賀羽球館	高雄市三民區灣興街99巷11-1號
南區羽球會館 高鐵館	高雄市左營區文府路180號
南區羽球會館 高醫館	高雄市三民區灣興街99巷13號
南區羽球會館 高醫自由館	高雄市三民區自由一路225號之1
南區羽球會館 苓雅館	高雄市苓雅區仁智街109號
南區羽球會館 鳳山館	高雄市鳳山區武營路106巷39弄25之1號1
南區羽球會館 鳳山2館	高雄市鳳山區經武路42-3號
南區羽球會館 左營館	高雄市左營區自由三路101巷12號
南區羽球會館 仁武館	高雄市仁武區成功路139-3號
優勢羽球館	高雄市鳥松區東山路橫一巷2號
苓雅運動中心	高雄市苓雅區中正一路96號
瘋羽球館	高雄市大寮區至學路710巷51之1號
前鎮高中	高雄市前鎮區鎮中路132號
嘉世羽球-左楠館24H	高雄市仁武區大德街11號
